locatioR,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D18R,613,334,-54,-49,-39,-53,-90,-89,-91,-93,0,-92
D18R,613,334,-54,-49,-38,-52,-93,0,-90,0,0,-93
D18R,613,334,-53,-49,-39,-52,-87,-89,-92,0,0,-93
D18R,613,334,-53,-50,-39,-52,-91,-89,-89,0,0,-93
D18R,613,334,-55,-49,-39,-52,-87,-87,-92,0,0,-93
D18R,613,334,-54,-49,-38,-52,-90,-89,-90,0,0,-93
D18R,613,334,-54,-49,-39,-52,-90,-89,-91,0,0,0
D18R,613,334,-54,-49,-38,-53,-90,-90,-91,0,0,-93
D18R,613,334,-54,-49,-38,-51,-91,-89,-91,0,0,-93
D18R,613,334,-54,-48,-38,-52,-87,-90,-91,0,0,-92
D18R,613,334,-54,-49,-38,-52,-88,-88,-90,0,0,-95
D18R,613,334,-54,-49,-39,-53,-89,-89,-92,0,0,-93
D18R,613,334,-54,-48,-38,-52,-86,-90,-92,0,0,-93
D18R,613,334,-54,-49,-39,-52,-91,-87,-93,0,0,-92
D18R,613,334,-54,-48,-39,-53,-92,-86,-93,0,0,-93
D18R,613,334,-54,-48,-39,-51,-91,-89,-91,0,0,-93
D18R,613,334,-55,-49,-39,-53,-89,-91,-89,0,0,-94
D18R,613,334,-54,-49,-39,-51,-90,-88,-91,0,0,-94
D18R,613,334,-54,-49,-39,-52,-89,-88,-93,0,0,-93
D18R,613,334,-55,-49,-39,-51,-87,-90,-90,0,0,-91
D18R,613,334,-54,-49,-38,-53,-88,-89,-91,0,0,-93
D18R,613,334,-54,-49,-38,-51,-89,-89,-91,0,0,-93
D18R,613,334,-55,-49,-38,-52,-91,-89,-91,0,0,-96
D18R,613,334,-55,-49,-38,-52,-88,-88,-89,0,0,-92
D18R,613,334,-55,-49,-39,-52,-91,-90,-92,0,0,-92
D18R,613,334,-55,-48,-38,-52,-91,-89,-93,0,0,-91
D18R,613,334,-55,-49,-38,-52,-89,-89,-92,0,0,-92
D18R,613,334,-55,-49,-39,-52,-91,-91,0,0,0,-92
D18R,613,334,-55,-49,-38,-52,-89,-89,-90,0,0,-91
D18R,613,334,-55,-49,-39,-53,-90,-89,-93,0,0,-95
D18R,613,334,-55,-49,-39,-51,-90,-88,-90,0,0,-93
D18R,613,334,-56,-49,-40,-52,-92,-88,-93,0,0,-94
D18R,613,334,-55,-49,-39,-51,-91,0,-93,0,0,-96
D18R,613,334,-55,-49,-38,-51,-91,-89,-91,0,0,-93
D18R,613,334,-55,-49,-38,-52,-92,-88,0,0,0,-94
D18R,613,334,-55,-49,-39,-52,-91,-90,-89,0,0,-94
D18R,613,334,-55,-49,-39,-53,-90,-89,-91,0,0,-93
D18R,613,334,-54,-49,-39,-51,-89,-89,-90,0,0,-94
D18R,613,334,-55,-49,-38,-51,-86,-89,-90,0,0,-93
D18R,613,334,-54,-49,-39,-51,-89,-89,-90,0,0,-92
D18R,613,334,-55,-50,-38,-52,-90,-88,-92,0,0,-94
D18R,613,334,-55,-49,-39,-52,-87,-88,-91,0,0,-94
D18R,613,334,-55,-49,-40,-53,-87,-89,-92,0,0,-95
D18R,613,334,-55,-48,-39,-51,-90,-89,-90,0,0,-94
D18R,613,334,-55,-49,-38,-52,-92,-90,-90,0,0,-96
D18R,613,334,-56,-49,-39,-52,0,0,-93,0,0,-93
D18R,613,334,-55,-49,-39,-53,-86,-89,-91,0,0,-93
D18R,613,334,-55,-49,-39,-52,-87,-89,-91,0,0,-93
D18R,613,334,-55,-49,-40,-51,-88,-89,-91,0,0,-94
D18R,613,334,-55,-49,-38,-52,-91,-89,-93,-94,0,-93
D18R,613,334,-55,-48,-38,-51,-91,-88,-91,0,0,0
D18R,613,334,-55,-49,-39,-51,-91,-89,-90,0,0,-94
D18R,613,334,-56,-49,-39,-51,-91,-89,-90,0,0,-93
D18R,613,334,-56,-49,-39,-53,-88,-90,-91,0,0,-94
D18R,613,334,-55,-49,-39,-52,-88,-90,-92,0,0,-93
D18R,613,334,-55,-49,-39,-53,-90,-89,-90,0,0,-94
D18R,613,334,-55,-49,-39,-51,-89,-89,-91,0,0,-95
D18R,613,334,-55,-49,-39,-51,-87,-88,-91,0,0,-94
D18R,613,334,-55,-49,-39,-51,-90,-90,-91,0,0,-94
D18R,613,334,-55,-49,-39,-53,-88,-89,-89,0,0,-92
D18R,613,334,-55,-49,-39,-52,-89,-89,-90,0,0,-94
D18R,613,334,-55,-49,-39,-51,-88,-90,-90,0,0,-92
D18R,613,334,-55,-49,-39,-52,-92,-89,-90,0,0,-92
D18R,613,334,-56,-49,-39,-51,-89,-91,-90,0,0,-94
D18R,613,334,-55,-49,-39,-51,-88,-89,-90,0,0,-92
D18R,613,334,-55,-49,-38,-51,-90,-89,-91,0,0,-93
D18R,613,334,-55,-49,-40,-53,-89,-90,-90,0,0,-94
D18R,613,334,-55,-49,-39,-52,-90,-88,-90,0,0,-93
D18R,613,334,-55,-49,-39,-51,-90,-88,-93,0,0,-92
D18R,613,334,-55,-48,-39,-53,-90,-89,-92,0,0,-91
D18R,613,334,-55,-49,-38,-53,-90,-89,-89,0,0,-93
D18R,613,334,-55,-49,-38,-52,-87,0,-89,0,0,-93
