locatioR,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D24R,788,334,-49,-51,-48,-56,-94,-94,-83,0,0,0
D24R,788,334,-50,-51,-49,-58,-93,-92,-90,0,0,0
D24R,788,334,-50,-48,-49,-55,-93,-92,-85,-94,0,0
D24R,788,334,-52,-50,-49,-55,-91,-92,-83,-94,0,0
D24R,788,334,-51,-49,-49,-58,-93,-93,-84,-94,0,0
D24R,788,334,-51,-49,-49,-61,-95,-93,-88,-93,0,0
D24R,788,334,-51,-49,-48,-57,-94,-93,-84,-94,0,0
D24R,788,334,-51,-49,-48,-58,-93,-92,-82,-95,0,0
D24R,788,334,-51,-49,-49,-58,-95,-93,-89,-93,0,0
D24R,788,334,-51,-48,-49,-56,-92,-93,-82,-95,0,0
D24R,788,334,-50,-49,-49,-58,-92,-93,-85,0,0,0
D24R,788,334,-49,-49,-49,-57,-92,-92,-87,0,0,0
D24R,788,334,-49,-49,-49,-55,-95,-92,-82,-94,0,0
D24R,788,334,-50,-49,-51,-58,-91,-92,-84,0,0,0
D24R,788,334,-50,-50,-50,-58,-91,-92,-83,-94,0,0
D24R,788,334,-50,-50,-50,-56,-94,-92,-90,-94,0,0
D24R,788,334,-51,-49,-48,-58,-92,-92,-89,0,0,0
D24R,788,334,-50,-49,-49,-58,-93,-93,-84,-95,0,0
D24R,788,334,-50,-49,-49,-57,-93,-93,-87,0,0,0
D24R,788,334,-49,-49,-48,-58,-94,-92,-83,-95,0,0
D24R,788,334,-50,-49,-49,-55,-94,-91,-89,-94,0,0
D24R,788,334,-49,-48,-48,-57,-94,-93,-91,-94,0,0
D24R,788,334,-50,-49,-48,-59,-95,-93,-91,-94,0,0
D24R,788,334,-49,-49,-49,-58,-92,-92,-88,0,0,0
D24R,788,334,-49,-48,-49,-59,-93,-91,-87,0,0,0
D24R,788,334,-49,-49,-48,-59,-94,-92,-83,0,0,0
D24R,788,334,-49,-49,-48,-61,-91,-91,-83,0,0,0
D24R,788,334,-49,-49,-48,-61,-93,-92,-84,0,0,0
D24R,788,334,-50,-48,-48,-60,-93,-95,-82,0,0,0
D24R,788,334,-49,-50,-49,-59,-93,-92,-83,0,0,0
D24R,788,334,-48,-49,-49,-57,-93,0,-88,-93,0,0
D24R,788,334,-51,-51,-49,-59,-94,-91,-86,-94,0,0
D24R,788,334,-50,-49,-48,-59,-95,-93,-86,0,0,0
D24R,788,334,-50,-49,-47,-57,-93,-90,-87,-95,0,0
D24R,788,334,-49,-48,-47,-57,-95,-91,-91,-95,0,0
D24R,788,334,-49,-49,-48,-58,-94,-95,-90,0,0,0
D24R,788,334,-50,-49,-47,-58,-95,-91,-90,-97,0,0
D24R,788,334,-50,-48,-47,-56,-94,-91,-89,-95,0,0
D24R,788,334,-49,-48,-48,-59,-92,-92,-88,0,0,0
D24R,788,334,-50,-49,-48,-57,-94,-90,-88,0,0,0
D24R,788,334,-50,-49,-48,-56,-95,-91,-88,0,0,0
D24R,788,334,-50,-50,-49,-55,-95,-90,-89,0,0,0
D24R,788,334,-50,-50,-49,-56,-94,0,-91,0,0,0
D24R,788,334,-51,-51,-50,-57,-93,-90,-90,0,0,0
D24R,788,334,-50,-50,-49,-55,0,0,-82,0,0,0
D24R,788,334,-48,-50,-51,-54,-93,-90,-81,0,0,0
D24R,788,334,-48,-50,-48,-54,-92,-91,-82,0,0,0
D24R,788,334,-48,-51,-49,-55,-95,-92,-88,0,0,0
D24R,788,334,-48,-49,-49,-54,-93,-92,-89,0,0,0
D24R,788,334,-50,-51,-49,-56,-95,-93,-92,0,0,0
