G24,780,237,-49,-54,-50,-61,-92,-91,-92,0,0,0
G24,780,237,-49,-54,-51,-62,-91,-91,-90,0,0,0
G24,780,237,-49,-54,-51,-61,-92,-92,-87,0,0,0
G24,780,237,-49,-54,-51,-61,-94,-93,-93,0,0,0
G24,780,237,-49,-54,-50,-61,0,-92,-90,0,0,0
G24,780,237,-49,-54,-51,-60,-93,-91,-90,0,0,0
G24,780,237,-49,-54,-51,-62,-92,-93,-88,0,0,0
G24,780,237,-49,-54,-51,-61,-92,-93,-90,0,0,0
G24,780,237,-49,-55,-49,-60,-93,-92,-89,0,0,0
G24,780,237,-49,-54,-51,-62,-91,-94,-90,0,0,0
G24,780,237,-48,-54,-51,-61,-94,-91,-90,0,0,0
G24,780,237,-49,-54,-51,-61,-93,-90,-88,0,0,0
G24,780,237,-49,-54,-51,-63,-92,-92,-87,0,0,0
G24,780,237,-49,-55,-51,-61,-93,-91,-90,0,0,0
G24,780,237,-49,-54,-49,-61,-92,-92,-88,0,0,0
G24,780,237,-49,-54,-49,-61,-90,-92,-90,0,0,0
G24,780,237,-49,-54,-51,-61,-92,-94,-91,0,0,0
G24,780,237,-49,-55,-50,-61,-92,-92,-90,0,0,0
G24,780,237,-49,-54,-50,-62,-93,-90,-90,0,0,0
G24,780,237,-49,-54,-49,-61,-93,-92,-92,0,0,0
G24,780,237,-49,-54,-49,-61,-91,-91,-90,0,0,0
G24,780,237,-50,-55,-51,-61,-92,-94,-89,0,0,0
G24,780,237,-49,-54,-50,-60,-92,-93,-90,0,0,0
G24,780,237,-49,-55,-49,-61,-91,0,-88,0,0,0
G24,780,237,-49,-55,-49,-61,-92,-91,-88,0,0,0
G24,780,237,-48,-54,-49,-61,-91,-90,-91,0,0,0
G24,780,237,-49,-54,-48,-61,-92,-92,-91,0,0,0
G24,780,237,-48,-54,-50,-60,-93,-92,-88,0,0,0
G24,780,237,-48,-52,-48,-61,-91,-92,-91,0,0,0
G24,780,237,-50,-55,-50,-59,-92,-91,-91,0,0,0
G24,780,237,-48,-54,-50,-59,-93,-93,-91,0,0,0
G24,780,237,-50,-54,-50,-60,-95,-91,-90,0,0,0
G24,780,237,-49,-54,-49,-60,-91,-92,-89,0,0,0
G24,780,237,-49,-53,-49,-59,-91,-92,-91,0,0,0
G24,780,237,-49,-54,-51,-59,-95,-94,-89,0,0,0
G24,780,237,-48,-53,-51,-59,-93,-93,-91,0,0,0
G24,780,237,-47,-53,-49,-60,-93,-92,-87,0,0,0
G24,780,237,-49,-54,-52,-60,-92,-93,-85,0,0,0
G24,780,237,-51,-54,-51,-62,-93,-91,-93,0,0,0
G24,780,237,-48,-54,-51,-59,-95,-92,-90,0,0,0
G24,780,237,-49,-54,-53,-60,-91,-92,-91,0,0,0
G24,780,237,-50,-54,-51,-60,-92,-93,-90,0,0,0
G24,780,237,-49,-55,-52,-59,-92,-93,-87,0,0,0
G24,780,237,-48,-54,-49,-60,-93,-92,-89,0,0,0
G24,780,237,-48,-53,-52,-61,-93,-95,-91,0,0,0
G24,780,237,-49,-53,-51,-59,-94,-92,-91,0,0,0
G24,780,237,-49,-54,-50,-60,-94,-94,-91,0,0,0
G24,780,237,-48,-54,-51,-60,-91,-93,-88,0,0,0
G24,780,237,-48,-54,-51,-60,-92,-91,-91,0,0,0
G24,780,237,-48,-54,-51,-60,-91,-91,-90,0,0,0
G24,780,237,-48,-54,-50,-62,-93,-91,-90,0,0,0
G24,780,237,-47,-54,-49,-60,-91,-92,-89,0,0,0
G24,780,237,-48,-53,-51,-60,-93,-89,-88,0,0,0
G24,780,237,-48,-54,-51,-60,-92,-92,-89,0,0,0
G24,780,237,-47,-54,-51,-60,-94,-93,-88,0,0,0
G24,780,237,-49,-53,-51,-60,-95,-93,-90,0,0,0
G24,780,237,-49,-54,-51,-60,-93,0,-90,0,0,0
G24,780,237,-47,-54,-51,-60,-93,-91,-89,0,0,0
G24,780,237,-48,-54,-51,-60,-92,-92,-87,0,0,0
G24,780,237,-49,-54,-50,-60,-93,-92,-91,0,0,0
G24,780,237,-49,-54,-49,-62,-94,-93,-90,0,0,0
G24,780,237,-49,-54,-51,-61,-91,-93,-90,0,0,0
G24,780,237,-49,-53,-52,-60,-94,-91,-88,0,0,0
G24,780,237,-49,-54,-50,-60,-91,-93,-89,0,0,0
G24,780,237,-48,-53,-49,-60,-93,0,-88,0,0,0
G24,780,237,-49,-53,-51,-60,-91,-93,-90,0,0,0
G24,780,237,-47,-54,-49,-60,-94,-92,-88,0,0,0
G24,780,237,-48,-55,-50,-60,-95,-93,-92,0,0,0
